Country of disembarkation,Year,Arrivals
 Saudi Arabia,2013,n.ap
 Saudi Arabia,2014,n.ap
 Saudi Arabia,2015,n.ap
 Saudi Arabia,2016,n.ap
 Saudi Arabia,2017,1468
 Saudi Arabia,2018,5472
 Saudi Arabia,2019,5362
 Saudi Arabia,2020,548
 Saudi Arabia,2021,159
 Saudi Arabia,2022,6832
 Saudi Arabia,2023,13450
 Saudi Arabia,2024,17617
 Saudi Arabia,2025,16647
 Seychelles,1983,n.ap
 Seychelles,1984,n.ap
 Seychelles,1985,n.ap
 Seychelles,1986,n.ap
 Seychelles,1987,n.ap
 Seychelles,1988,n.ap
 Seychelles,1989,n.ap
 Seychelles,1990,n.ap
 Seychelles,1991,n.ap
 Seychelles,1992,n.ap
 Seychelles,1993,n.ap
 Seychelles,1994,n.ap
 Seychelles,1995,1481
 Seychelles,1996,975
 Seychelles,1997,1764
 Seychelles,1998,3807
 Seychelles,1999,3742
 Seychelles,2000,3461
 Seychelles,2001,3117
 Seychelles,2002,3689
 Seychelles,2003,3200
 Seychelles,2004,2977
 Seychelles,2005,5880
 Seychelles,2006,5939
 Seychelles,2007,6968
 Seychelles,2008,7809
 Seychelles,2009,6683
 Seychelles,2010,6587
 Seychelles,2011,4681
 Seychelles,2012,3990
 Seychelles,2013,4957
 Seychelles,2014,5630
 Seychelles,2015,9135
 Seychelles,2016,10383
 Seychelles,2017,10703
 Seychelles,2018,9509
 Seychelles,2019,8770
 Seychelles,2020,1941
 Seychelles,2021,639
 Seychelles,2022,3075
 Seychelles,2023,4314
 Seychelles,2024,4825
 Seychelles,2025,6011
 Singapore,1983,n.ap
 Singapore,1984,n.ap
 Singapore,1985,760
 Singapore,1986,1510
 Singapore,1987,6580
 Singapore,1988,9640
 Singapore,1989,13020
 Singapore,1990,8870
 Singapore,1991,9470
 Singapore,1992,8690
 Singapore,1993,9350
 Singapore,1994,10244
 Singapore,1995,8140
 Singapore,1996,8663
 Singapore,1997,9250
 Singapore,1998,11993
 Singapore,1999,13871
 Singapore,2000,14999
 Singapore,2001,10824
 Singapore,2002,11720
 Singapore,2003,7062
 Singapore,2004,8821
 Singapore,2005,9417
 Singapore,2006,9584
 Singapore,2007,9571
 Singapore,2008,9995
 Singapore,2009,8349
 Singapore,2010,10203
 Singapore,2011,9469
 Singapore,2012,10227
 Singapore,2013,7267
 Singapore,2014,2737
 Singapore,2015,1721
 Singapore,2016,9537
 Singapore,2017,14974
 Singapore,2018,15714
 Singapore,2019,15973
 Singapore,2020,1430
 Singapore,2021,n.ap
 Singapore,2022,17
 Singapore,2023,1
 Singapore,2024,n.ap
 Singapore,2025,n.ap
" South Africa, Rep. of",1983,2100
" South Africa, Rep. of",1984,2370
" South Africa, Rep. of",1985,2410
" South Africa, Rep. of",1986,2910
" South Africa, Rep. of",1987,3100
" South Africa, Rep. of",1988,3330
" South Africa, Rep. of",1989,4040
" South Africa, Rep. of",1990,4440
" South Africa, Rep. of",1991,4480
" South Africa, Rep. of",1992,4960
" South Africa, Rep. of",1993,5100
" South Africa, Rep. of",1994,7153
" South Africa, Rep. of",1995,7542
" South Africa, Rep. of",1996,9615
" South Africa, Rep. of",1997,10501
" South Africa, Rep. of",1998,10900
" South Africa, Rep. of",1999,10904
" South Africa, Rep. of",2000,11279
" South Africa, Rep. of",2001,11302
" South Africa, Rep. of",2002,14460
" South Africa, Rep. of",2003,14010
" South Africa, Rep. of",2004,13128
" South Africa, Rep. of",2005,13384
" South Africa, Rep. of",2006,13167
" South Africa, Rep. of",2007,16301
" South Africa, Rep. of",2008,19013
" South Africa, Rep. of",2009,18009
" South Africa, Rep. of",2010,20000
" South Africa, Rep. of",2011,20087
" South Africa, Rep. of",2012,22604
" South Africa, Rep. of",2013,21819
" South Africa, Rep. of",2014,22066
" South Africa, Rep. of",2015,23361
" South Africa, Rep. of",2016,26411
" South Africa, Rep. of",2017,27751
" South Africa, Rep. of",2018,29002
" South Africa, Rep. of",2019,32155
" South Africa, Rep. of",2020,6971
" South Africa, Rep. of",2021,1724
" South Africa, Rep. of",2022,16539
" South Africa, Rep. of",2023,26918
" South Africa, Rep. of",2024,28854
" South Africa, Rep. of",2025,32270
 Switzerland,1983,220
 Switzerland,1984,520
 Switzerland,1985,700
 Switzerland,1986,860
 Switzerland,1987,740
 Switzerland,1988,580
 Switzerland,1989,690
 Switzerland,1990,1190
 Switzerland,1991,760
 Switzerland,1992,750
 Switzerland,1993,910
 Switzerland,1994,1478
 Switzerland,1995,1501
 Switzerland,1996,1681
 Switzerland,1997,1681
 Switzerland,1998,1828
 Switzerland,1999,1766
 Switzerland,2000,2069
 Switzerland,2001,2221
 Switzerland,2002,2294
 Switzerland,2003,2133
 Switzerland,2004,1959
 Switzerland,2005,1581
 Switzerland,2006,2255
 Switzerland,2007,2522
 Switzerland,2008,2712
 Switzerland,2009,1495
 Switzerland,2010,2042
 Switzerland,2011,2001
 Switzerland,2012,1003
 Switzerland,2013,124
 Switzerland,2014,94
 Switzerland,2015,n.ap
 Switzerland,2016,118
 Switzerland,2017,675
 Switzerland,2018,1166
 Switzerland,2019,1912
 Switzerland,2020,744
 Switzerland,2021,201
 Switzerland,2022,1715
 Switzerland,2023,2080
 Switzerland,2024,2945
 Switzerland,2025,2513
 Turkey,1983,n.ap
 Turkey,1984,n.ap
 Turkey,1985,n.ap
 Turkey,1986,n.ap
 Turkey,1987,n.ap
 Turkey,1988,n.ap
 Turkey,1989,n.ap
 Turkey,1990,n.ap
 Turkey,1991,n.ap
 Turkey,1992,n.ap
 Turkey,1993,n.ap
 Turkey,1994,n.ap
 Turkey,1995,n.ap
 Turkey,1996,n.ap
 Turkey,1997,n.ap
 Turkey,1998,n.ap
 Turkey,1999,n.ap
 Turkey,2000,n.ap
 Turkey,2001,n.ap
 Turkey,2002,n.ap
 Turkey,2003,n.ap
 Turkey,2004,n.ap
 Turkey,2005,n.ap
 Turkey,2006,n.ap
 Turkey,2007,n.ap
 Turkey,2008,n.ap
 Turkey,2009,n.ap
 Turkey,2010,n.ap
 Turkey,2011,n.ap
 Turkey,2012,n.ap
 Turkey,2013,n.ap
 Turkey,2014,n.ap
 Turkey,2015,46
 Turkey,2016,2675
 Turkey,2017,6390
 Turkey,2018,10813
 Turkey,2019,13639
 Turkey,2020,1624
 Turkey,2021,1756
 Turkey,2022,10737
 Turkey,2023,10091
 Turkey,2024,14119
 Turkey,2025,14766
 United Arab Emirates,1983,n.ap
 United Arab Emirates,1984,n.ap
 United Arab Emirates,1985,n.ap
 United Arab Emirates,1986,n.ap
 United Arab Emirates,1987,n.ap
 United Arab Emirates,1988,n.ap
 United Arab Emirates,1989,n.ap
 United Arab Emirates,1990,n.ap
 United Arab Emirates,1991,n.ap
 United Arab Emirates,1992,n.ap
 United Arab Emirates,1993,n.ap
 United Arab Emirates,1994,n.ap
 United Arab Emirates,1995,9
 United Arab Emirates,1996,8
 United Arab Emirates,1997,7
 United Arab Emirates,1998,0
 United Arab Emirates,1999,2
 United Arab Emirates,2000,4
 United Arab Emirates,2001,0
 United Arab Emirates,2002,4472
 United Arab Emirates,2003,8927
 United Arab Emirates,2004,9724
 United Arab Emirates,2005,10818
 United Arab Emirates,2006,12813
 United Arab Emirates,2007,15295
 United Arab Emirates,2008,19759
 United Arab Emirates,2009,26233
 United Arab Emirates,2010,23950
 United Arab Emirates,2011,27670
 United Arab Emirates,2012,34069
 United Arab Emirates,2013,41698
 United Arab Emirates,2014,53626
 United Arab Emirates,2015,61575
 United Arab Emirates,2016,61765
 United Arab Emirates,2017,64558
 United Arab Emirates,2018,70193
 United Arab Emirates,2019,72857
 United Arab Emirates,2020,14973
 United Arab Emirates,2021,14126
 United Arab Emirates,2022,58948
 United Arab Emirates,2023,73888
 United Arab Emirates,2024,85131
 United Arab Emirates,2025,92882
 United Kingdom,1983,4750
 United Kingdom,1984,4740
 United Kingdom,1985,4420
 United Kingdom,1986,5070
 United Kingdom,1987,5080
 United Kingdom,1988,6120
 United Kingdom,1989,6990
 United Kingdom,1990,8080
 United Kingdom,1991,7410
 United Kingdom,1992,7650
 United Kingdom,1993,7850
 United Kingdom,1994,14919
 United Kingdom,1995,14229
 United Kingdom,1996,14897
 United Kingdom,1997,14970
 United Kingdom,1998,12754
 United Kingdom,1999,18507
 United Kingdom,2000,18029
 United Kingdom,2001,19942
 United Kingdom,2002,21523
 United Kingdom,2003,25035
 United Kingdom,2004,32276
 United Kingdom,2005,31342
 United Kingdom,2006,30715
 United Kingdom,2007,33913
 United Kingdom,2008,33544
 United Kingdom,2009,21611
 United Kingdom,2010,22673
 United Kingdom,2011,24815
 United Kingdom,2012,23725
 United Kingdom,2013,20187
 United Kingdom,2014,17726
 United Kingdom,2015,18175
 United Kingdom,2016,17414
 United Kingdom,2017,19423
 United Kingdom,2018,19698
 United Kingdom,2019,20704
 United Kingdom,2020,4997
 United Kingdom,2021,3171
 United Kingdom,2022,19471
 United Kingdom,2023,25488
 United Kingdom,2024,25294
 United Kingdom,2025,22617
 Zimbabwe,1983,n.ap
 Zimbabwe,1984,n.ap
 Zimbabwe,1985,n.ap
 Zimbabwe,1986,n.ap
 Zimbabwe,1987,n.ap
 Zimbabwe,1988,n.ap
 Zimbabwe,1989,n.ap
 Zimbabwe,1990,n.ap
 Zimbabwe,1991,n.ap
 Zimbabwe,1992,n.ap
 Zimbabwe,1993,n.ap
 Zimbabwe,1994,n.ap
 Zimbabwe,1995,912
 Zimbabwe,1996,929
 Zimbabwe,1997,1084
 Zimbabwe,1998,938
 Zimbabwe,1999,1142
 Zimbabwe,2000,1117
 Zimbabwe,2001,1093
 Zimbabwe,2002,924
 Zimbabwe,2003,506
 Zimbabwe,2004,494
 Zimbabwe,2005,356
 Zimbabwe,2006,81
 Zimbabwe,2007,26
 Zimbabwe,2008,n.ap
 Zimbabwe,2009,n.ap
 Zimbabwe,2010,n.ap
 Zimbabwe,2011,n.ap
 Zimbabwe,2012,n.ap
 Zimbabwe,2013,n.ap
 Zimbabwe,2014,6
 Zimbabwe,2015,n.ap
 Zimbabwe,2016,n.ap
 Zimbabwe,2017,n.ap
 Zimbabwe,2018,1
 Zimbabwe,2019,n.ap
 Zimbabwe,2020,n.ap
 Zimbabwe,2021,n.ap
 Zimbabwe,2022,n.ap
 Zimbabwe,2023,n.ap
 Zimbabwe,2024,n.ap
 Zimbabwe,2025,n.ap
